experiment_id,family,scope,current_status,status_group,claim_class,headline_result,canonical_artifact,superseded_or_secondary,next_action
E13,Claim-aware changepoint probes,matched synthetic change detection and localization,mixed_conditional,Conditional / developmental,changepoint,Mean and tail probes succeed; variance probe is a broad instability alarm not channel-specific,SYNTHETIC_METHODS_REPORT_2026-07-12.md,broad detector labels without confusion controls,build mechanism-confusion matrix
E14,Direct versus composed horizons,registered mean and bounded endpoint witnesses at horizons 2 4 and 8,completed_mixed,Conditional / developmental,temporal_composition,Closure-null FPR 0.0148 and nonlinear misspecification power 1.00; short-history AR2 power 0.70 misses the 0.80 gate,distributional_sid/E12_CLOSURE_RESULT_20260716.md,earlier rollout and bridge fragments without a resolved closure defect,improve power prospectively or derive sequential orthogonal composed inference
E15,Compatibility-aware repaired neural responses,frozen conditional generators and observational repaired-path effects,completed_conditional,Conditional / developmental,effective_response,External signal is present but strict support and training-lineage caveats prevent a general superiority claim,results/compatibility_path_response/final_analysis_20260826/REPORT.md,causal synapse or intervention wording,retain as model-relative response evidence
E16,Progressive bridge estimator benchmark,one frozen checkpoint two high-particle references three finite-particle repeats,supported_estimator,Supported,monte_carlo_estimation,Progressive SMC response MSE 0.01101 versus terminal 0.01565 and direct 0.03069; all sealed gates pass,results/compatibility_path_response/frozen_estimator_benchmark_20260826/analysis/REPORT.md,external atlas interpretation of Stage A,advance to synthetic oracle validation
E17,Progressive post-freeze external evaluation,54 shared neurons matched estimator panel and contextual SBTG panel,mixed_conditional,Conditional / developmental,convergent_validity,Progressive lag-1 Randi AUROC 0.540 and Cook 0.540; SBTG-published contextual Randi 0.622 and Cook 0.565,results/compatibility_path_response/postfreeze_progressive_external_20260827/REPORT.md,treating source bootstrap or MC repeats as animal uncertainty,expand across frozen folds and generator seeds without tuning on atlases
E18,Onset-aware lagged propagation,three known stimulus onsets per worm matched quiet pseudo-onsets and frozen phase matrices,exploratory_negative_mechanism,Negative,onset_propagation,Persistence rho 0.600; SBTG-published off-diagonal rho 0.202 but not onset-specific; no matrix improves persistence and no Bentley lag survives across-panel multiplicity,results/compatibility_path_response/onset_aware_propagation_20260827/REPORT.md,physical-delay or causal-edge interpretation of passive onset prediction,freeze one onset statistic for a new cohort and separate direct sensory from downstream targets
E19,Multi-lag conditional dynamics and temporal-cut SMC,atlas-blind multi-lag density ceiling followed by lagged ESS-SMC onset screen and untouched-fold confirmation,completed_negative,Negative,multilag_effective_response,Self history wins proper scores; temporal-cut confirmation gain -0.00005 [-0.00482 0.00472] with 35.6% validity; Randi/Cook 0.590/0.543 and no Bentley lag-max result survives,results/multilag_temporal_cut_20260827/REPORT.md,physical-delay causal-edge or anatomical interpretation; tuning on external atlases,use a prospective higher-resolution perturbed cohort with the frozen zero-offset 0.5-second statistic
E20,Residualized distributed-lag dynamics,smooth source-target lag kernels after self stimulus and global-state residualization; global regularization frozen on folds 0-2,completed_mixed_negative_mechanism,Conditional / developmental,predictive_lag_dynamics,Confirmation Student-t NLL +0.009436 [0.008471 0.010382] and edge-rank stability 0.764 but RMSE -0.001854; quiet exceeds onset; Randi/Cook 0.503/0.515 and Bentley minimum q 0.894,results/distributed_lag_dynamics_20260828/FINAL_REPORT.md,causal anatomical physical-delay or promoted local-perturbation SMC wording,add a neuron-specific calcium observation model and prospectively repeat both proper-score and mean-dynamics gates
E21,Higher-order conditional lag dynamics,current54 original SBTG80 and shared-neuron bridge; structured mean log-variance covariance plus neural density tournament,completed_calibrated_ceiling,Negative,higher_order_lag_dynamics,Source-history ablation NLL +0.070/+0.050/+0.091 but structured scale gates all fail; current54 variance AUROC reaches 0.70 only at effect 1.5; best new Randi/Cook 0.545/0.529 and minimum receptor global q 0.17,results/higher_order_dynamics_20260828/FINAL_REPORT.md,edgewise gain causal receptor anatomical physical-delay or new-SMC promotion wording,fit a latent calcium observation model and prospectively repeat frozen density and incremental-history gates with perturbations
E22,Biological analysis of frozen stimulus-conditioned lag dynamics,historical 20-worm position-pooled analysis; corrected 17-worm primary and 20-worm pooled observed-event analysis,superseded_rebuilt,Supersession / rebuild,biological_response,Original chemical/repetition claims invalid; corrected actual-event analysis finds primary AWC butanone suppression at 4 s -0.873 q 0.00183 and 10 s -1.672 q 0.000079 while NaCl AWC is not FDR-significant,results/biological_lag_analysis_20260828/chemical_corrected_observed_20260828/REPORT.md,three-butanone-repeat adaptation promoted-edge causal anatomical or physical-delay claims,retain corrected chemical-specific observed activity only and keep old report for provenance
E23,Corrected-onset regularized lag sampling,historical 20-worm position-conditioned and clock-misspecified pooled sampler analysis,historical_estimator_only,Supersession / rebuild,aligned_lag_sampling,Direct/progressive sampler mechanics are preserved but numeric biological outputs are not corrected chemical-specific lag matrices,AUDIT_STIMULUS_PROVENANCE_20260828.md,chemical-specific onset recruitment RIB-to-AVB or physical-delay claims from old archives,rerun only after the E24 atlas-blind chemical predictive gate passes
E24,Stimulus provenance correction and chemical-identity rebuild,raw per-worm chemical order 17-worm primary head cohort 20-worm resampled sensitivity schema fingerprints and frozen paired gate,complete_no_chemical_conditioned_lag_launch,Supersession / rebuild,stimulus_provenance,Binary wins primary balanced energy 1.077671; pooled chemical one-hot wins 1.310290 but fails position-only at 5/10 wins; no chemical-aware candidate passes all controls in either cohort,results/conditional_distribution_benchmark/chemical_encoding_gate_20260828/REPORT.md,using position as chemistry treating SBTG80 as simultaneous or launching chemical-conditioned lag sampling after a failed predictive gate,preserve corrected predictive null; allow E27 binary-any-stimulus event stratification; move chemical-conditioned lag inference to a prospectively designed dataset
E25,Paired common-noise distributional lag audit,17-worm 54-neuron corrected primary cohort binary stimulus calcium-aware innovation model direct paired rollout targeted ESS-SMC and post-freeze pooled and transmitter-specific Bentley/SBTG correspondence,complete_mixed_negative_confirmation,Conditional / developmental,predictive_distributional_lag,"Prediction passes but AIY-to-AIZ fails N256 SMC proper scoring; full W1 matrices have Bentley monoamine/neuropeptide/union best AUROC 0.525/0.491/0.493 versus SBTG-published 0.581/0.544/0.537; tyramine log-SD reaches 0.640 at 2 s and octopamine mean/tail 0.647/0.642 at 2 s descriptively, but global q is 0.933 and no lag maximum is calibrated",DISTRIBUTIONAL_LAG_EXPERIMENT_20260828.md,promoted transmitter effect causal edge receptor activity anatomical identification or physical delay,retain descriptive correspondence and confirm a frozen longer-history statistic prospectively on DANDI 000981
E26,Corrected four-sampler explicit-lag matrices,17-worm 54-neuron corrected native-4-Hz cohort binary stimulus flow with direct importance terminal-deferred SMC progressive bridge SMC temporal-cut SMC and post-freeze Randi Cook Bentley SBTG analysis,complete_estimator_positive_biology_negative,Conditional / developmental,flow_repaired_lag_matrices,Progressive bridge validity 0.802 and generator-seed signed rho 0.478-0.688; lag-1 Randi/Cook structural/chemical/gap AUROC 0.637/0.611/0.603/0.650; no endpoint-mean neuromodulator lag maximum survives global correction minimum q 0.597,results/four_sampler_lag_connectome_20260828/analysis/REPORT.md,chemical-specific receptor-mediated causal-edge anatomical-identification or physical-delay wording,retain progressive as the preferred finite-particle estimator and prospectively test a frozen statistic on DANDI 000981
E27,Full neural prediction atlas and targeted N128 audit,17 OH16230 worms 54 shared neurons native 4Hz binary-any-stimulus TCN flow direct N256 progressive bridge N32 full atlas targeted progressive N128 and post-freeze external analysis,complete_atlas_primary_stable_supplemental_mostly_unstable,Conditional / developmental,model_relative_prediction_atlas,80/80 raw archives validate; six selected mean/pathwise effects retain direction at N128 with median absolute screen delta 0.012287 and magnitude agreement 0.966; supplemental distributional/stimulus agreement is 0.141; progressive lag-1 Randi 0.647 and Cook structural/chemical/gap 0.611/0.600/0.672; Bentley neuropeptide 0.581 and union 0.535 have global q 0.018 while no monoamine or transmitter-specific panel survives,results/neural_prediction_atlas_20260829/README.md,causal anatomical receptor-mediated chemical-conditioned independent-confirmation or physical-delay interpretation; conflating supplemental candidates with the six primary candidates,use the read-only GUI as a selection-labeled hypothesis generator and test frozen candidates independently on DANDI 000981
E28,Historical SBTG80 progressive-bridge sensitivity,released 20-worm 80-neuron donor-imputed pseudo-paired cache atlas-blind 8-frame wide-flow winner progressive bridge N32 lags 1/4/8 horizon 1 and post-freeze Randi Cook Bentley comparison,complete_historical_negative_replication,Negative,historical_external_sensitivity,Progressive lag-1 Randi 0.523 and Cook structural/chemical/gap 0.535/0.534/0.543 versus SBTG-published 0.630/0.581/0.570/0.613; every paired source-bootstrap AUROC interval is below zero; Bentley W1 neuropeptide/union reaches 0.546/0.538 but minimum global BH q is 0.105,results/sbtg80_progressive_sensitivity_20260830/REPORT.md,calling the historical 80-node cache a clean superset or using the sensitivity to supersede the corrected 54-neuron cohort; causal anatomical receptor or physical-delay interpretation,retain as a historical-lineage sensitivity that qualifies the E27 external advantage; repeat only on a genuinely larger clean cohort
E29,E27 complete-family significance and sampler-null gate,17 OH16230 worms 54 neurons four exact worm sign-flip families joint max-T correction strong all-lag support gate plus eight-cell progressive-bridge N128 sampler and quiet-time calibration,complete_inference_sampler_calibrated_no_experiment_ready,Conditional / developmental,complete_family_sampler_calibration,Complete-family inference retains 102 baseline-mean edges and 492 cells but zero strong-support lag-structure edges or strict stimulus-modulated discoveries; targeted calibration validates 70/70 raw archives with 73 ledger entries and classifies 24 rows in one exact 64-test max-T family at critical value 3.8246963393338396 as 15 sampling-limited 4 sampler-only 5 indistinguishable and 0 passing both sampler and quiet-time controls; analysis fingerprint c193fc999d504f9096540fa4e5e73aeaebe88bc8e8a7d85a805c9920bd3252ca; schema-v3 explorer and 270-test suite finalized,results/neural_prediction_atlas_20260829/COMPLETE_FAMILY_SIGNIFICANCE_20260830.md; results/neural_prediction_atlas_20260829/TARGETED_SAMPLING_NULL_CALIBRATION_20260830.md; results/neural_prediction_atlas_20260829/gui/atlas_explorer.html,calling an internally worm-consistent frozen-model dependency causal anatomical experiment-ready or a physical delay; promoting sampler-only or lower-support rows; treating quiet-time specificity as stimulus modulation,use the schema-v3 five-rung evidence ladder retain all rows as non-experiment-ready define a biological SESOI and seek independent prospective confirmation
E30,Matched marginal uncertainty dependence and distribution-shape audit,17 corrected OH16230 worms 54 neurons five fixed folds two model seeds 30 new matched Gaussian/Student-t fits and ten frozen flow checkpoints,complete_predictive_positive_dependence_limited,Conditional / developmental,predictive_distribution_diagnostics,"Shuffling leaves the flow energy lead intact (energy change -0.032%); same-mean changing variance improves CRPS 0.248% (Holm p 0.032), Student-t improves CRPS 0.500% (p 0.020), and flow beats Student-t energy 4.197% in 17/17 worms (p 0.000076); secondary flow tail probability is 10.38% versus 5.91% observed; 100 archives and 289 tests validate",results/distribution_structure_20260831/INSIGHTS.md,shape-only attribution neuronal independence multimodality anatomical causal or intrinsic-noise claims; highlighted tail contrast is exploratory on a declared secondary metric,retain the flow energy advantage while validating tail-based downstream claims; isolate shared fitted means and covariance before attributing the remaining gain uniquely to shape
E31,Neuron-class effects and cohort provenance,frozen E27/E29 54-class matrices; Cook SI6 sourced classification; both samplers seven channels thirteen contexts four lags six horizons two rosters two support policies,complete_descriptive_validated,Foundational / descriptive,posthoc_neuron_class_aggregation,22 sensory 23 interneuron 9 motor head classes; 157248 descriptive summaries; larger motor block averages are support sensitive; only SIA and SMB survive strict motor-source support; existing 102 strong edges remain lag-unresolved; 307 tests pass,results/neuron_class_effects_20260831/README.md,new class significance causal influence physical delays or a clean simultaneous 80-neuron comparator; historical hard-coded neuron labels differ from actual Cook SI6,retain descriptive subgroup hypotheses and validate on independently recorded cohort; re-derive native-only neuron coverage only in a separately scoped retraining comparison
E32,Historical SBTG80 optimized conditional flow,released 20-worm 80-neuron donor-imputed pseudo-paired cache; prespecified flow training sweep; two generator seeds; progressive bridge N32/N64 resolution and repair-branch sweeps; post-freeze Randi and Cook comparison,complete_historical_positive_invalid_lineage,Conditional / developmental,historical_external_sensitivity,Tuned two-seed N64/b4 lag-1 AUROC is 0.674 Randi and 0.629/0.617/0.666 Cook structural/chemical/gap versus SBTG 0.630 and 0.581/0.570/0.613; Cook source-bootstrap deltas exclude zero while Randi narrowly includes zero,results/sbtg80_flow_optimization_20260901/final/REPORT.md,supersedes E28 under-convergence result but not its invalid pseudo-pairing/donor-imputation lineage warning; no causal anatomical receptor or physical-delay interpretation,confirm the frozen recipe on a genuinely larger clean simultaneously recorded cohort with generator-refit uncertainty
